artist,album,track,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness
Christian Leave,Hope,Safe and Sound,3zvzTpFMeZ1j5FkNcQdeaF,215829,46,0.376,-7.793,0.468,0.0998
Lalo Ebratt,Mocca,Mocca - Remix,1usoXi4f0BnMART4uActEA,202876,56,0.732,-1.694,0.758,0.388
Why Don't We,These Girls,These Girls,1Fc4NYNUePCq7ab5ftg7Ty,169012,50,0.71,-4.762,0.781,0.0579
Joaco Terán,Juntos a La Par,Juntos a La Par,2MgfD774UjkeSlIkgFzdD6,145737,38,0.744,-9.353,0.39,0.197
Morat,Sobre El Amor Y Sus Efectos Secundarios... Y Unas Cuantas Cosas Más,Cómo Te Atreves - Versión Acústica,6rHyPMLuCFn9Djfm96xrHP,231990,0,0.637,-6.213,0.636,0.344
Bizarrap,"Trueno: Bzrp Music Sessions, Vol. 16","Trueno: Bzrp Music Sessions, Vol. 16",7ouulWlZPefmEIGYWNyiPH,158983,62,0.726,-7.678,0.602,0.0827
We Three,We Three,Lifeline,7hKh0NFiRRY4nSpfLC2RxT,191226,47,0.574,-4.813,0.624,0.173
Jeremy Zucker,thinking 2 much,thinking 2 much,4SRkSRxPeAydDA3HrNTiSs,229360,0,0.669,-11.845,0.37,0.0997
DDG,Moonwalking in Calabasas (feat. Blueface),Moonwalking in Calabasas (feat. Blueface) - Remix,7o4gBbTM6UBLkOYPw9xMCz,170232,65,0.928,-10.196,0.341,0.162
Justin Bieber,Purpose,Love Yourself,3hB5DgAiMAQ4DzYbsMq1IT,233720,1,0.609,-9.828,0.378,0.28
LIT killah,Flexin',Flexin',0hwEhPxCBLKiqeBMZavGAv,179383,64,0.84,-6.156,0.488,0.103
Danny Ocean,Me Rehúso,Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,205714,78,0.744,-6.327,0.804,0.0494
DNCE,People To People,Still Good,3snCUIDipfcnwhyIfeDe8f,201426,45,0.702,-5.534,0.661,0.0956
Fergie,The Dutchess,Fergalicious,1D066zixBwqFYqBhKgdPzp,292373,72,0.906,-7.721,0.583,0.126
