artist,album,track,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness
Maggie Lindemann,Pretty Girl,Pretty Girl - Cheat Codes X CADE Remix,39IsH7B5byx8NRlEKlZVg9,193613,61,0.703,-4.661,0.868,0.104
nilu,Are You With Me,Are You With Me,2NTww3JSBHpySR2plYyAd6,249661,0,0.172,-8.668,0.409,0.103
Jeremy Zucker,love is not dying,comethru (bonus track),1pV9TLnQdOHbvourRO7x4m,181613,0,0.795,-12.293,0.18,0.621
Alexander Stewart,blame's on me,blame's on me,1veHwv1HPwzOvlhs5jPxeP,138374,76,0.306,-17.118,0.121,0.167
Anson Seabra,Feeling For My Life,Magazines,3Amht3EpGYKEYZkafAwibf,220049,38,0.775,-12.276,0.424,0.123
Dylan Conrique,birthday cake,birthday cake,7dDrR6vMK1JAwZZ5MIWgme,205280,74,0.436,-8.623,0.255,0.106
Vancouver Sleep Clinic,Revival,Someone To Stay,2xlV2CuWgpPyE9e0GquKDN,254013,77,0.436,-7.24,0.473,0.103
Finding Hope,Apollo 19,Nightlight,73LdhMZm8CrXJEi2wm6um3,175538,55,0.542,-17.125,0.0866,0.0962
Sleeping At Last,"Covers, Vol. 2",Chasing Cars,2d7LPtieXdIYzf7yHPooWd,242564,61,0.467,-9.649,0.157,0.0816
Julie and the Phantoms Cast,Julie and the Phantoms: Season 1 (From the Netflix Original Series),Unsaid Emily (feat. Charlie Gillespie),2vEDOWuYM6r2LO9HXI47F1,230240,66,0.515,-6.974,0.53,0.089
Tate McRae,you broke me first,you broke me first,45bE4HXI0AwGZXfZtMp8JR,169265,84,0.667,-9.389,0.373,0.0906
Zac Efron,The Greatest Showman (Original Motion Picture Soundtrack),Rewrite The Stars,65fpYBrI8o2cfrwf2US4gq,217440,75,0.684,-7.005,0.619,0.122
Genevieve Stokes,Habits,Habits,4UGvqm3e7UElrrriPtnhwz,136733,59,0.663,-9.469,0.287,0.346
Zoe Wees,Control,Control,50Td3qilgs8BLtv8mHyT1t,230880,80,0.599,-4.95,0.465,0.149
Sofía Reyes,Mal De Amores,Marte,1uK5rDY3BnikyG0sl3tPpc,218800,75,0.704,-5.254,0.604,0.126
Manuel Medrano,Manuel Medrano,Bajo El Agua,5QSYWruQQ7kBCHScI4xJ9g,225838,75,0.616,-8.504,0.454,0.105
Anson Seabra,"It's Raining, It's Pouring","It's Raining, It's Pouring",0dhw2WjJZBsbBDv0Ipdgbw,183089,51,0.598,-8.683,0.444,0.142
James Arthur,Car's Outside,Car's Outside - Acoustic,0FJlNZyxbicLmzOvNl8PJs,248735,52,0.308,-8.049,0.419,0.0903
Isak Danielson,Yours,Always,2bdCO4UTMX1ennK2I4rFpD,213451,0,0.69,-8.026,0.452,0.308
P!nk,The Truth About Love,Try,1jF7IL57ayN4Ity3jQqGu0,247906,80,0.674,-7.079,0.628,0.0944
Jeremy Zucker,brent,scared,6r2JV75tE0vNgNCv4HKsBC,207520,64,0.583,-15.843,0.075,0.111
Bohnes,Middle Finger - Single,Middle Finger,0IK8y0vAO0sM630HsxwLht,229986,40,0.685,-6.013,0.656,0.347
Mau y Ricky,Para Aventuras y Curiosidades,Perdóname,4mivRZXyZbIDecPTiCtOjw,208986,55,0.531,-7.747,0.448,0.636
Madison Beer,Selfish,Selfish,4PV0uE5pZSh44E3NqNNDEH,223270,63,0.375,-6.202,0.461,0.386
Anson Seabra,Feeling For My Life,Lucky Charms,1Cwg5W2pW4aDvgUnb0PAvL,190127,47,0.704,-9.282,0.433,0.169
Rosa Linn,SNAP,SNAP,0QPRDC97rIQB3Jh3hrVJoH,179551,10,0.563,-8.205,0.639,0.446
AJ Mitchell,SKYVIEW,Used to Be,6Vt5LdwSUvbcDfWThqnBK5,174785,58,0.47,-6.546,0.458,0.108
Benson Boone,In The Stars,In The Stars,1ei3hzQmrgealgRKFxIcWn,216410,86,0.362,-6.031,0.54,0.139
Anson Seabra,Walked Through Hell,Walked Through Hell,6c7N5N7amAOpeMykjlovjI,216864,67,0.508,-11.092,0.404,0.104
New West,Those Eyes Alternate Versions,Those Eyes - Slowed + Reverb,1Hc41dCVvSlMml3mtDiyy1,273092,9,0.484,-8.355,0.411,0.331
James Smith,Tell Me That You Love Me,Tell Me That You Love Me,2wHA4yJKT8TJhGz20QxUqX,194658,67,0.536,-8.752,0.317,0.11
Lord Huron,Strange Trails,The Night We Met,3hRV0jL3vUpRrcy398teAU,208211,86,0.544,-9.514,0.369,0.639
Lexi Jayde,closer to closure,you don't deserve these tears,3ZuCT3RWkGCu5DyIYG6u1D,132665,54,0.489,-8.14,0.299,0.193
Jasmine Thompson,Will Follow You Into the Dark,Will Follow You Into the Dark,3A31Rer0lC31LUGxQwmO8V,204091,43,0.54,-10.939,0.234,0.125
BANNERS,Someone To You,Someone To You - Acoustic,6uhk9SHuaSqlvG2Dt3Ncnk,214906,0,0.602,-5.874,0.695,0.191
grentperez,Cherry Wine,Cherry Wine,1a1LrfgkTvfHFykIxcv8WU,173286,3,0.761,-7.016,0.565,0.0825
Anson Seabra,Come Close,Come Close,10LSITr9KpQs2uCh7g2QQh,179796,46,0.44,-11.581,0.241,0.112
WALK THE MOON,What If Nothing,Lost In The Wild,0M1A9wInEHilyWkh4I8tWo,235960,66,0.483,-4.829,0.77,0.182
David Kushner,Daylight,Daylight,1odExI7RdWc4BT515LTAwj,212953,98,0.508,-9.475,0.43,0.093
Anson Seabra,Welcome to Wonderland,Welcome to Wonderland,3JfHYZKy5JmE5Fv4gDTCiz,199131,72,0.703,-10.906,0.179,0.102
Sleeping At Last,"July 22, 2020: C / 2020 F3 - Comet Neowise","July 22, 2020: C / 2020 F3 - Comet Neowise",7e83nqqtB1j71YhPVkqWXf,184645,34,0.208,-19.025,0.13,0.281
Sara Kays,Remember That Night?,Remember That Night?,1nYzjrdVQ8RpF93M0jPFW7,227186,75,0.679,-10.936,0.61,0.156
5 Seconds of Summer,CALM,Lover Of Mine,4CufDREo1dO9TL7txA5SGA,206973,0,0.316,-2.536,0.858,0.151
ROSIE,Never the 1,Never the 1,3gk96wClxx6rbSOpxXUc5O,171960,0,0.632,-11.92,0.269,0.121
Birdy,Beautiful Lies,Deep End,555CH6CnGJRqO37pqA30vW,208840,67,0.455,-8.513,0.296,0.0783
Sara Kays,Chosen Last,Chosen Last,3NDgV66iYYySIgo5RSvQ5d,226847,0,0.652,-6.503,0.543,0.112
Tyrese Pope,Not a Love Song,Not a Love Song,7c7eehhS6b19w6rEeuLhD6,135000,18,0.913,-12.416,0.48,0.229
Adele,Easy On Me,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,224694,85,0.604,-7.519,0.366,0.133
Sadie Jean,Locksmith,Locksmith,4HcARAxzsbIB3MqiEkejM6,164081,76,0.566,-10.726,0.348,0.113
Clinton Kane,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,1is8gU4RVcN4J8xItxWoOY,204093,77,0.422,-6.577,0.34,0.149
Reik,Des/Amor,Ya Me Enteré,0lPXFrKyl8HkdQ2E6NmNja,204173,78,0.619,-5.449,0.452,0.122
5 Seconds of Summer,Youngblood,Ghost Of You,1MhXdlCQPnO56T57MfmaRm,197411,76,0.458,-4.819,0.561,0.156
Patrick Watson,Je te laisserai des mots,Je te laisserai des mots,0V5cvmTKsYmF5FmGGEAfmS,160853,86,0.303,-16.757,0.187,0.101
Andy Grammer,Naive,"Don't Give Up On Me - (From ""Five Feet Apart"")",5A3fPy30SN2wuzrahpcxvV,196187,75,0.641,-5.452,0.537,0.115
New West,Those Eyes,Those Eyes,2GThBgzZoZfz0lx1JjBwfe,220750,40,0.597,-8.043,0.351,0.319
M83,"Hurry up, We're Dreaming",Wait,01Q3OyB05mLgH01fpdAMPP,343253,73,0.426,-10.552,0.228,0.0832
Alexander Stewart,echo,echo,4rdIhBrlaAOPnlTlugZBgz,198750,65,0.631,-7.451,0.503,0.116
Kodaline,Politics of Living,Brother,65gLJGey4u4KFFqoC5fzFJ,203186,76,0.519,-5.909,0.625,0.121
Beret,Vuelve,Vuelve,3jMwSd2zqGOwJStCatpjAr,148633,0,0.689,-10.033,0.456,0.104
Cole Norton,Perfect,Perfect,5yWL57uHx9aincW0l7px7p,319660,0,0.51,-10.457,0.261,0.155
Matt Landi,"Oh Man, What a View!","Oh Man, What a View!",2b5zQzxVQUVacZKGkpw59z,203000,16,0.519,-7.163,0.571,0.0714
BANNERS,Shine A Light,Shine A Light,1fDtoTPDyzkNOfFIRXxsC5,225120,59,0.32,-4.25,0.801,0.13
Matthew Mole,Run,Running After You,6cRkm1iHWDYpkQanPyLqwn,237996,44,0.601,-12.077,0.375,0.0943
Alexander 23,IDK You Yet,IDK You Yet,47EWMOElkkbMp5m9SBkx7d,184638,2,0.629,-11.735,0.306,0.124
Isak Danielson,Yours,Broken,4oLLl2b0pZ5Ksp4SWISJyx,216338,0,0.435,-6.851,0.636,0.112
Aquilo,Silhouettes,Sorry,6MXJdqTuSDXkG21JHWiGko,255205,52,0.322,-11.359,0.291,0.127
