trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness,Nombre
+,2023-02-20 10:38,Aitana,881413,5Cbo7oz78gqkzV3EAM63VA,219367,61,0.561,-4.243,0.666,0.123,Luisa
"1 step forward, 3 steps back",2022-06-28 20:39,Olivia Rodrigo,3136670,4wcBRRpIfesgcyUtis7PEg,163586,79,0.473,-12.627,0.203,0.126,Luisa
10 mil,2022-08-26 15:40,Benjamín Amadeo,625004,0zdTOCAaRAlT99a3MQztg6,241546,43,0.695,-5.203,0.756,0.0739,Luisa
11 Besos,2023-03-24 18:59,Morat,118727,5T1MmDTBxXdCzIK0d76fQs,118727,61,0.741,-9.879,0.191,0.127,Luisa
22,2023-03-07 18:03,TINI,560205,0ZrDGZ2g2nZXz4rjO3oKrl,161213,0,0.76,-6.288,0.773,0.294,Luisa
23,2022-09-21 16:50,Morat,3695687,6iHkZiRJcULoqasbboOgig,220613,53,0.833,-7.707,0.524,0.339,Luisa
23 Preguntas,2022-12-21 01:24,Anuel AA,5628856,5ANkjNH7elrxzggidjnH9v,251221,76,0.777,-6.234,0.594,0.103,Luisa
24 Horas,2023-01-21 10:49,Eslabon Armado,3379492,0T8lt51Lvj1OAj750PH6X9,317362,69,0.495,-10.145,0.452,0.0821,Luisa
2:50,2023-01-18 11:40,MYA,186422,5xlxSHnvXwT66JWYwDkEFE,185142,50,0.794,-3.726,0.824,0.319,Luisa
4U,2023-03-27 10:00,PRETTYMUCH,54357,17rOGXD67XqmQn4QnZOYe0,204626,39,0.401,-9.042,0.573,0.074,Luisa
512,2022-08-18 14:47,Mora,370802,5jzEwSyyymBlf1fa1o39T2,193636,78,0.818,-7.542,0.673,0.172,Luisa
7 Years,2023-05-11 01:34,Lukas Graham,260073,34jE97kETT7KynsR9dweWU,237353,0,0.74,-7.792,0.449,0.342,Luisa
8 Letters - Nora En Pure Remix,2022-10-05 15:28,Why Don't We,24234,6yuyTFjqd3iMAAXoXt2WCm,210000,0,0.728,-5.306,0.936,0.103,Luisa
8TEEN,2022-10-20 11:17,Khalid,228600,5bgwqaRSS3M8WHWruHgSL5,228600,79,0.83,-5.802,0.585,0.0576,Luisa
911 (Remix),2022-08-19 14:14,Sech,853,27RSJHEA99Y0Vsow7nA37A,208631,75,0.816,-3.728,0.71,0.292,Luisa
A Better Life,2023-03-28 15:36,Grace VanderWaal,9706,1rEkvyg3rdnTvmhEASyQmg,244160,33,0.398,-7.767,0.39,0.209,Luisa
