artistName,Puesto,Nombre,Pais,Genero
WOS,1,Luisa,Argentina,Trap argentino
WOS,1,Olivia,Argentina,Trap argentino
Tiago PZK,5,Luisa,Argentina,Urbano latino
Bizarrap,4,Luisa,Argentina,Trap argentino
Bizarrap,3,Olivia,Argentina,Trap argentino
Quevedo,3,Luisa,España,Pop rap
Quevedo,2,Olivia,España,Pop rap
Morat,2,Luisa,Colombia,Latin pop
Mora,5,Olivia,Puerto Rico,Dembow
LOUTA,4,Olivia,Argentina,Urbano latino
Anson Seabra,1,Sol,Estados Unidos,Pop
Tate McRae,2,Sol,Canada,Pop
Julie & cast,3,Sol,Estados Unidos,Pop
Selena Gomez,4,Sol,Estados Unidos,Pop
Olivia Rodrigo,5,Sol,Estados Unidos,Teen pop
